Obscured Name,Application State,nom status,awarded
Student 251,pending review,winner,10000
Student 252,pending review,,
Student 253,pending review,winner,10000
Student 254,pending review,alternate,
Student 255,pending review,winner,10000
Student 256,pending review,runner-up,2000
Student 257,in progress,,
Student 258,in progress,,
Student 259,pending review,,
Student 260,pending review,winner,10000
Student 261,pending review,,
Student 262,pending review,runner-up,2000
Student 263,pending review,alternate,
Student 264,pending review,winner,10000
Student 265,pending review,,
Student 266,pending review,runner-up,2000
Student 267,pending review,winner,10000
Student 268,pending review,runner-up,2000
Student 269,pending review,alternate,
Student 270,in progress,,
Student 271,pending review,winner,10000
Student 272,pending review,runner-up,2000
Student 273,in progress,,
Student 274,in progress,,
Student 275,pending review,runner-up,2000
Student 276,in progress,,
Student 277,pending review,winner,10000
Student 278,pending review,,
Student 279,in progress,,
Student 280,pending review,runner-up,2000
Student 281,in progress,,
Student 282,pending review,,
Student 283,in progress,,
Student 284,pending review,alternate,
Student 285,pending review,,
Student 286,pending review,,
Student 287,in progress,,
Student 288,in progress,,
Student 289,pending review,alternate,
Student 290,pending review,winner,10000
Student 291,pending review,winner,10000
Student 292,pending review,,
Student 293,in progress,,
Student 294,pending review,,
Student 295,pending review,,
Student 296,pending review,,
Student 297,pending review,,
Student 298,in progress,,
Student 299,pending review,,
Student 300,in progress,,
Student 301,in progress,,
Student 302,pending review,winner,10000
Student 303,pending review,winner,10000
Student 304,ineligible,,
Student 305,pending review,runner-up,2000
Student 306,pending review,,
Student 307,pending review,alternate,
Student 308,in progress,,
Student 309,pending review,winner,10000
Student 310,pending review,alternate,
Student 311,in progress,,
Student 312,pending review,runner-up,2000
Student 313,pending review,runner-up,2000
Student 314,pending review,runner-up,2000
Student 315,in progress,,
Student 316,pending review,winner,10000
Student 317,pending review,winner,10000
Student 318,pending review,winner,10000
Student 319,in progress,,
Student 320,pending review,,
Student 321,pending review,winner,10000
Student 322,pending review,winner,10000
Student 323,ineligible,,
Student 324,pending review,runner-up,2000
Student 325,ineligible,,
Student 326,pending review,,
Student 327,pending review,winner,10000
Student 328,pending review,runner-up,2000
Student 329,pending review,alternate,
Student 330,in progress,,
Student 331,pending review,alternate,
Student 332,pending review,runner-up,2000
Student 333,pending review,,
Student 334,in progress,,
Student 335,pending review,,
Student 336,pending review,,
Student 337,in progress,,
Student 338,in progress,,
Student 339,in progress,,
Student 340,in progress,,
Student 341,pending review,alternate,
Student 342,pending review,runner-up,2000
Student 343,pending review,alternate,
Student 344,pending review,alternate,
Student 345,in progress,,
Student 346,in progress,,
Student 347,pending review,,
Student 348,pending review,runner-up,2000
Student 349,pending review,,
Student 350,in progress,,
Student 351,pending review,,
Student 352,in progress,,
Student 353,pending review,alternate,
Student 354,pending review,,
Student 355,pending review,runner-up,2000
Student 356,in progress,,
Student 357,pending review,alternate,
Student 358,pending review,,
Student 359,pending review,,
Student 360,pending review,,
Student 361,pending review,,
Student 362,in progress,,
Student 363,pending review,winner,10000
Student 364,pending review,runner-up,2000
Student 365,pending review,winner,10000
Student 366,in progress,,
Student 367,pending review,,
Student 368,pending review,winner,10000
Student 369,pending review,,
Student 370,pending review,,
Student 371,in progress,,
Student 372,pending review,,
Student 373,pending review,alternate,
Student 374,pending review,alternate,
Student 375,pending review,runner-up,2000
Student 376,pending review,,
Student 377,in progress,,
Student 378,pending review,winner,10000
Student 379,in progress,,
Student 380,pending review,,
Student 381,pending review,,
Student 382,pending review,,
Student 383,pending review,,
Student 384,in progress,,
Student 385,pending review,,
Student 386,pending review,,
Student 387,pending review,winner,10000
Student 388,pending review,winner,10000
Student 389,pending review,winner,10000
Student 390,pending review,,
Student 391,pending review,winner,10000
Student 392,in progress,,
Student 393,pending review,,
Student 394,pending review,alternate,
Student 395,pending review,winner,10000
Student 396,in progress,,
Student 397,pending review,,
Student 398,in progress,,
Student 399,pending review,,
Student 400,pending review,,
Student 401,pending review,,
Student 402,in progress,,
Student 403,pending review,,
Student 404,pending review,,
Student 405,pending review,,
Student 406,pending review,,
Student 407,pending review,,
Student 408,pending review,,
Student 409,in progress,,
Student 410,pending review,,
Student 411,pending review,,
Student 412,pending review,,
Student 413,pending review,runner-up,2000
Student 414,pending review,,
Student 415,in progress,,
Student 416,pending review,runner-up,2000
Student 417,pending review,,
Student 418,pending review,,
Student 419,in progress,,
Student 420,pending review,runner-up,2000
Student 421,pending review,runner-up,2000
Student 422,pending review,runner-up,2000
Student 423,pending review,winner,10000
Student 424,pending review,alternate,
Student 425,pending review,runner-up,2000
Student 426,pending review,runner-up,2000
Student 427,pending review,,
Student 428,pending review,,
Student 429,pending review,winner,10000
Student 430,pending review,,
Student 431,in progress,,
Student 432,in progress,,
Student 433,pending review,runner-up,2000
Student 434,in progress,,
Student 435,pending review,winner,10000
Student 436,pending review,,
Student 437,pending review,,
Student 438,in progress,,
Student 439,pending review,alternate,
Student 440,pending review,alternate,
Student 441,pending review,alternate,
Student 442,pending review,runner-up,2000
Student 443,pending review,winner,10000
Student 444,pending review,runner-up,2000
Student 445,in progress,,
Student 446,pending review,,
Student 447,pending review,winner,10000
Student 448,pending review,,
Student 449,pending review,,
Student 450,pending review,,
Student 451,pending review,,
Student 452,pending review,,
Student 453,pending review,,
Student 454,pending review,winner,10000
Student 455,pending review,,
Student 456,in progress,,
Student 457,pending review,winner,10000
Student 458,pending review,runner-up,2000
Student 459,pending review,winner,10000
Student 460,pending review,alternate,
Student 461,in progress,,
Student 462,pending review,,
Student 463,pending review,winner,10000
Student 464,pending review,winner,10000
Student 465,in progress,,
Student 466,in progress,,
Student 467,pending review,,
Student 468,pending review,alternate,
Student 469,pending review,,
Student 470,pending review,,
Student 471,pending review,,
Student 472,pending review,runner-up,2000
Student 473,pending review,,
Student 474,in progress,,
Student 475,pending review,winner,10000
Student 476,pending review,winner,10000
Student 477,in progress,,
Student 478,pending review,,
Student 479,in progress,,
Student 480,pending review,,
Student 481,pending review,winner,10000
Student 482,pending review,winner,10000
Student 483,pending review,,
Student 484,pending review,alternate,
Student 485,pending review,alternate,
Student 486,pending review,,
Student 487,pending review,alternate,
Student 488,pending review,winner,10000
Student 489,pending review,runner-up,2000
Student 490,pending review,winner,10000
Student 491,pending review,,
Student 492,pending review,,
Student 493,pending review,,
Student 494,pending review,runner-up,2000
Student 495,pending review,runner-up,2000
Student 496,pending review,,
Student 497,pending review,alternate,
Student 498,pending review,runner-up,2000
Student 499,pending review,,
Student 500,in progress,,
Student 501,pending review,,
Student 502,pending review,,
Student 503,pending review,runner-up,2000
Student 504,pending review,winner,10000
Student 505,pending review,alternate,
Student 506,in progress,,
Student 507,pending review,alternate,
Student 508,in progress,,
Student 509,pending review,,
Student 510,in progress,,
Student 511,pending review,,
Student 512,in progress,,
Student 513,pending review,,
Student 514,in progress,,
Student 515,in progress,,
Student 516,in progress,,
Student 517,pending review,winner,10000
Student 518,in progress,,
Student 519,pending review,alternate,
Student 520,pending review,runner-up,2000
Student 521,in progress,,
Student 522,pending review,,
Student 523,pending review,,
Student 524,in progress,,
Student 525,pending review,,
Student 526,in progress,,
Student 527,pending review,,
Student 528,pending review,winner,10000
Student 529,ineligible,,
Student 530,pending review,,
Student 531,pending review,winner,10000
Student 532,pending review,winner,10000
Student 533,in progress,,
Student 534,pending review,,
Student 535,pending review,alternate,
Student 536,pending review,alternate,
Student 537,in progress,,
Student 538,pending review,runner-up,2000
Student 539,pending review,runner-up,2000
Student 540,pending review,winner,10000
Student 541,pending review,runner-up,2000
Student 542,pending review,alternate,
